OrderID,OrderDate,Product,Category,Region,Quantity,UnitPrice
1001,2024-01-05,Laptop,Electronics,West,2,800
1002,2024-01-07,Phone,Electronics,South,3,500
1003,2024-01-10,Tablet,Electronics,East,1,300
1004,2024-01-15,Chair,Furniture,West,4,120
1005,2024-01-18,Desk,Furniture,North,2,250
1006,2024-01-20,Headphones,Accessories,South,5,80
1007,2024-02-02,Laptop,Electronics,East,1,800
1008,2024-02-05,Phone,Electronics,West,2,500
1009,2024-02-10,Chair,Furniture,North,3,120
1010,2024-02-15,Desk,Furniture,South,1,250
